prefecture_id,prefectureJP,prefecture_EN,week_ending_date,Observed_weighted,Observed
1,"北海道","Hokkaido",10jan2010,352,352
1,"北海道","Hokkaido",17jan2010,321,321
1,"北海道","Hokkaido",24jan2010,322,322
1,"北海道","Hokkaido",31jan2010,362,362
1,"北海道","Hokkaido",07feb2010,336,336
1,"北海道","Hokkaido",14feb2010,322,322
1,"北海道","Hokkaido",21feb2010,322,322
1,"北海道","Hokkaido",28feb2010,317,317
1,"北海道","Hokkaido",07mar2010,336,336
1,"北海道","Hokkaido",14mar2010,330,330
1,"北海道","Hokkaido",21mar2010,329,329
1,"北海道","Hokkaido",28mar2010,359,359
1,"北海道","Hokkaido",04apr2010,296,296
1,"北海道","Hokkaido",11apr2010,329,329
1,"北海道","Hokkaido",18apr2010,343,343
1,"北海道","Hokkaido",25apr2010,340,340
1,"北海道","Hokkaido",02may2010,342,342
1,"北海道","Hokkaido",09may2010,335,335
1,"北海道","Hokkaido",16may2010,317,317
1,"北海道","Hokkaido",23may2010,356,356
1,"北海道","Hokkaido",30may2010,347,347
1,"北海道","Hokkaido",06jun2010,341,341
1,"北海道","Hokkaido",13jun2010,329,329
1,"北海道","Hokkaido",20jun2010,332,332
1,"北海道","Hokkaido",27jun2010,341,341
1,"北海道","Hokkaido",04jul2010,313,313
1,"北海道","Hokkaido",11jul2010,330,330
1,"北海道","Hokkaido",18jul2010,340,340
1,"北海道","Hokkaido",25jul2010,333,333
1,"北海道","Hokkaido",01aug2010,345,345
1,"北海道","Hokkaido",08aug2010,347,347
1,"北海道","Hokkaido",15aug2010,330,330
1,"北海道","Hokkaido",22aug2010,348,348
1,"北海道","Hokkaido",29aug2010,347,347
1,"北海道","Hokkaido",05sep2010,325,325
1,"北海道","Hokkaido",12sep2010,363,363
1,"北海道","Hokkaido",19sep2010,338,338
1,"北海道","Hokkaido",26sep2010,371,371
1,"北海道","Hokkaido",03oct2010,347,347
1,"北海道","Hokkaido",10oct2010,354,354
1,"北海道","Hokkaido",17oct2010,336,336
1,"北海道","Hokkaido",24oct2010,359,359
1,"北海道","Hokkaido",31oct2010,384,384
1,"北海道","Hokkaido",07nov2010,340,340
1,"北海道","Hokkaido",14nov2010,388,388
1,"北海道","Hokkaido",21nov2010,371,371
1,"北海道","Hokkaido",28nov2010,375,375
1,"北海道","Hokkaido",05dec2010,376,376
1,"北海道","Hokkaido",12dec2010,335,335
1,"北海道","Hokkaido",19dec2010,340,340
1,"北海道","Hokkaido",26dec2010,342,342
1,"北海道","Hokkaido",02jan2011,356,356
1,"北海道","Hokkaido",09jan2011,364,364
1,"北海道","Hokkaido",16jan2011,356,356
1,"北海道","Hokkaido",23jan2011,323,323
1,"北海道","Hokkaido",30jan2011,367,367
1,"北海道","Hokkaido",06feb2011,357,357
1,"北海道","Hokkaido",13feb2011,346,346
1,"北海道","Hokkaido",20feb2011,341,341
1,"北海道","Hokkaido",27feb2011,367,367
1,"北海道","Hokkaido",06mar2011,346,346
1,"北海道","Hokkaido",13mar2011,351,351
1,"北海道","Hokkaido",20mar2011,352,352
1,"北海道","Hokkaido",27mar2011,352,352
1,"北海道","Hokkaido",03apr2011,334,334
1,"北海道","Hokkaido",10apr2011,344,344
1,"北海道","Hokkaido",17apr2011,346,346
1,"北海道","Hokkaido",24apr2011,336,336
1,"北海道","Hokkaido",01may2011,345,345
1,"北海道","Hokkaido",08may2011,286,286
1,"北海道","Hokkaido",15may2011,341,341
1,"北海道","Hokkaido",22may2011,327,327
1,"北海道","Hokkaido",29may2011,338,338
1,"北海道","Hokkaido",05jun2011,345,345
1,"北海道","Hokkaido",12jun2011,352,352
1,"北海道","Hokkaido",19jun2011,342,342
1,"北海道","Hokkaido",26jun2011,366,366
1,"北海道","Hokkaido",03jul2011,328,328
1,"北海道","Hokkaido",10jul2011,355,355
1,"北海道","Hokkaido",17jul2011,343,343
1,"北海道","Hokkaido",24jul2011,349,349
1,"北海道","Hokkaido",31jul2011,352,352
1,"北海道","Hokkaido",07aug2011,381,381
1,"北海道","Hokkaido",14aug2011,316,316
1,"北海道","Hokkaido",21aug2011,355,355
1,"北海道","Hokkaido",28aug2011,387,387
1,"北海道","Hokkaido",04sep2011,351,351
1,"北海道","Hokkaido",11sep2011,327,327
1,"北海道","Hokkaido",18sep2011,351,351
1,"北海道","Hokkaido",25sep2011,348,348
1,"北海道","Hokkaido",02oct2011,349,349
1,"北海道","Hokkaido",09oct2011,370,370
1,"北海道","Hokkaido",16oct2011,346,346
1,"北海道","Hokkaido",23oct2011,342,342
1,"北海道","Hokkaido",30oct2011,323,323
1,"北海道","Hokkaido",06nov2011,354,354
